,Name,Date,Content
1162,奶盖廿四味,2018年10月30日 10:05  来自 微博轻享版,那个上司上周周末怕    喷 一斤黑旋风杀虫水，礼拜一通风通 一天，现 味道还 那么重
1164,男性养生补肾韵儿,2018年10月30日 09:22  来自 360安全浏览器,男性健康  为什么长久从事 工作 男性很容易患上肾虚❓这 因为 男性长期处  通风 空调环境中，久坐 动，腰部承受巨大压力，直接影响到肾 再加上生活没有规律，很少运动，免疫力 会受影响，肾脏因此而逐步出现亏损 男性养生
1166,男性养生补肾欢威,2018年10月30日 08:18  来自 荣耀10 AI变色更潮美,💞早间知识为什么长久从事 工作 男性很容易患上肾虚❓这 因为 男性长期处  通风 空调环境中，久坐 动，腰部承受巨大压力，直接影响到肾 再加上生活没有规律，很少运动，免疫力 会受影响，肾脏因此而逐步出现亏损  南昌·富山乡
1167,北全興,2018年10月30日 07:40  来自 OPPO智能手机,条养生小常识  绿茶可预防肝病   胖大海泡茶 宜长期饮用   感冒 宜喝苦丁茶   胆固醇高者少吃鱿鱼  海蜇皮能缓解高血压   食肉过多对身体有害   骨折初期 宜喝骨头汤   常喝豆浆有益健康   豆浆 宜与红糖鸡蛋同饮   白酒 宜代替料酒做菜   深呼吸可能 利老
1168,用户5179687731,2018年10月30日 07:33  来自 iPhone客户端,星期二 当前温度 °C 西北风一级预防感冒十大招  .勤洗手 如果手很脏，单纯使用手部消毒剂  能达到杀菌效果  从外面回家后， 用肥皂勤洗手  .盐水洗鼻子 盐可帮助预防感冒，能阻止细菌 鼻腔处停留  .适当运动 温和 适当 运动可增强免疫力，但
1169,叶鸾离,2018年10月25日 16:42  来自 iPhone客户端,感觉很烦躁哦，  通风真 很闷
1172,打你脑__,2018年10月25日 10:21  来自 iPhone客户端,通风口一直传来挠地 声音，估计有鸟或者什么动物  面筑巢，转念一想 可能 有人或者异形被困  面，还挺可怕
1175,朱文波15517548886,2018年10月25日 09:32  来自 微博 weibo.com,家吸甲醛，孩子 校吸甲醛 室内空气环保 过关，这可怎么好？ - 河南泛亚环保科技甲醛——作为一种对人类最有害 气体，被誉为室内“夺命杀手”，尤其 中国，千万新装修家庭 ，尤其 儿童 孕妇 老人 身体健康，正 受到甲醛 危害 真实案例 .胡氏家具致一家三口甲醛中
1176,时尚宝妈存存,2018年10月25日 00:02  来自 微博 weibo.com,危险因素 .无处   辐射防辐射从备孕开始，一直  女性非常关心 问题，但 生活中 各种辐射， 无孔 入，让人防 胜防 对于女性白领来 ，经常性 大量接触电子仪器，可能会对宝宝产生 好 影响，但如果工作环境中电脑数量 多 话，通常 会有什么大问题 支招 工作时若必须面对大量 电
1177,河北建筑工程学院,2018年10月24日 20:16  来自 OPPO R11 Plus,校与河北中创安装有限公司签署实习基地协议    ， 校与河北中创安装有限公司正式签署 业创业实习基地协议和教学实习基地协议并举行 授牌仪式 河北中创安装有限公司总经理杨印胜 副总经理孔令芝 工程部经理刘世伟  主任吕霄云一行四人参加签约仪式 能环学院院长郝桂珍 党委书记张
1178,各种怼墙_,2018年10月24日 16:56  来自 Android,怼怼下单啦 匿名谢谢 怼怼下单怼一下同学 超长预警(´･ω･`)   转校生，因为身体原因从市中心学校转到  妈妈教书 一所农村学校 班级规模挺大 ，但 男女比例 太协调 差 多三十多个男生，十几个女生 因为 转校生，还 老师家女儿 而且教  老师有  邻居有  亲戚，她
1179,武安老字号金鼎厨具,2018年10月24日 15:33  来自 微博 weibo.com,武安市东宁商贸有限公司Dongning Trading Co. Ltd.武安市东宁商贸有限公司成立于  ，为河北武安最规模之厨房设备 餐饮设备 酒店用品专业供应商 东宁商贸竭力为客户提供优质 产品及售后服务，务使出品做到尽善尽美 时至今 ，  来，东宁，从零到有，从小到大，用心发展老字号品牌， 们已
1180,看山君不看山,2018年10月22日 08:12  来自 vivo NEX AI智慧旗舰,丽娃又犯脑妈盐 ，穿个短袖，把 窗户全部关起来 有病 ，这个天穿短袖，还 让别人透气  天天 这样  十来度 天，大家  外套，她穿短袖  穿短袖  算 ，身体好，还 影响别人  通通风多舒服， 行 素  关起来 ，脑子有屎 ， 倒 穿外套
1181,阿米贝信仰,2018年10月22日 07:52  来自 Android,条健康知识   绿茶可预防肝病   胖大海泡茶 宜长期饮用   感冒 宜喝苦丁茶   胆固醇高者少吃鱿鱼   海蜇皮能缓解高血压   食肉过多对身体可能有害   骨折初期 宜喝骨头汤   常喝豆浆有益健康
1187,心语0411,2018年10月19日 08:49  来自 iPhone客户端,条生理常识， 知道几条？（先转载到自己 朋友圈，以后肯定用得上）  凉水洗脚有损健康.  夏季多吃苦味有益健康.  多喝水能防肾结石.  夏季 宜光 上身睡觉.  冬季养生宜多食热粥.  冬季洗澡次数 宜多.  冬季 宜长期待 温暖房间.   宜长时间停留 冬季雾气中.  冬天
1189,追着EK跑的小鱼干,2018年10月18日 22:03  来自 OPPO R9s Plus,今 打卡 一早觉得工资没算对 告诉 人事姐姐 头头 后来直接和老板娘当面询问  才知道老板娘叫什么 老板叫什么 因为二 弄  大乌龙  过没 提成 工资真 可怜  公司好坑下午头头得知 最近自己接 几单 面 居然 没喝顾客讲起价钱   然后一下午 看价格 和顾客核对期间困得 得
1192,十万个为什么本Why,2018年10月18日 16:27  来自 荣耀7X 全面屏手机,完全 通风，又闷又热，每天 好想吃雪糕
1193,德义先生,2018年10月16日 13:41  来自 HUAWEI P10,内部 天花板 “以高为吉”，太低 话容易给人以压迫感，对所  公司  吉利，对  工作人员造成压力，而且会导致通风 良，同时还会影响公司业务 发展，对员工 身体健康  利
1194,苏啊梳呀,2018年10月16日 11:03  来自 毕雯珺V+,挺难理解 学校这样 工作环境下，居然还会有咄咄逼人，话语尖利刺耳 教职员工存  第一次对话  “ 们走 时候   又没关窗？每次   检查去关”，走时没留意关窗  们 对，但您 没必 与第一次对话 人用这样 语气吧？刚才突然进来 ，左看右看，然后没好气地唉声叹气  爽地 “
1196,东坡肉要甜一点,2018年10月16日 09:07  来自 HUAWEI Mate 8,这天真 贼冷关键 还得开窗开门开电风扇通风感冒  瑟瑟发抖怀念以前冬天热死人 市一休息室 上海·石泉路
1197,善施生物科技,2018年10月16日 08:56  来自 荣耀Play 让快更快,秋冬换季如何预防感冒？最近处于秋冬换季时期，天气多变，忽冷忽热，一 小心 感冒，特别 老人 小孩这类抵抗力较弱 人群 感冒虽然  大病，但病起来还 让人十分 舒服 那么，秋冬换季如何预防感冒？感冒有什么症状？感冒后最先出现 症状  鼻咽部 适 一开始只 感觉喉咙肿痛，随后出
1199,砍菜鸭,2018年11月15日 10:41  来自 iPhone客户端,好热 通风  好现  心跳加速呼吸困难晕乎乎 好难受出去溜达两圈 一回来 难受   可以申请回家
1202,平安清徐,2018年11月14日 18:30  来自 微博 weibo.com,警方提示 冬季 这些消防安全知识一定 知道为 加强冬季防火用电安全，提高居民 消防安全知识，防患于未然，盘锦市公安消防部门提醒市民注意以下用火 用电 用气安全常识 严格明火管理（一）严禁 具有火灾 爆炸危险 场所动用明火 （二）严禁 公众聚集场所营业期间动用明火
1203,双台子公安,2018年11月14日 16:14  来自 搜狗高速浏览器,警方提示 冬季 这些消防安全知识一定 知道为 加强冬季防火用电安全，提高居民 消防安全知识，防患于未然，盘锦市公安消防部门提醒市民注意以下用火 用电 用气安全常识 严格明火管理（一）严禁 具有火灾 爆炸危险 场所动用明火 （二）严禁 公众聚集场所营业期间动
1205,laiyuxin,2018年11月14日 12:59  来自 小米MIX2S 全面屏,敢问有没有人  一上午一直开  窗户 还号称通风透气 还 开空气净化器   们这 有   能 能别这么无知
1206,咫尺明月,2018年11月14日 11:31  来自 搜狗高速浏览器,越坐越冷，忍 住把通风换成制热，居然脑子 一直冒出最近看过 相声 那句 “热得快炸   开空调呀 ”魔怔
1208,涐爱次牛扒,2018年11月13日 20:16  来自 Android客户端,白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物” 抗粉尘吃鸡 鸭 猪血，抗金属食用牛奶 豆腐，抗辐射多 吃海带等蔬菜
1210,其实也很累,2018年11月13日 14:17  来自 微博 weibo.com,冬天开窗通风  % 家庭及 族 没有定时开窗通风 习惯 据 解， % 家居或  存 开窗通风 足 情况 大家习惯紧闭门窗，一来 因为城市灰尘多，噪音大，关窗能换来 洁净安宁 室内环境，二来则 开冷气或暖气 需  殊 知，温暖 光照差 空气 流通 房间 细菌 病毒生
1212,抹茶味的梨子小姐,2018年11月13日 10:13,关窗开空调被烟味熏死开窗通风 被冷死这些 顾别人感受 公众场合特别  抽烟 人真  太讨厌
1217,elapsed迷失2016,2018年11月11日 01:48,如山证券 固定收益业务条线， 每一 举办 会 时候，几乎 会安排到周末 前一天，今    例外 从这周五 上午开始，占据总部大楼整个第九层 固定收益部，  断迎来一群群 人到访 来 这些人中，有 正装打扮，一手拉 行李箱一手挎 双肩包，与同伴从电梯间边聊边走进 ，虽一脸 风
1222,东财散户,2018年11月09日 16:49  来自 微博 weibo.com,设计可以塑造和引导人 行为， 可以创造认同感和归属感 尚辰设计 平面布局阶段，让整体空间更具开放性，便于 交流与协作，同时把采光和通风较好 区域作为员工 开放 区，再合理规划管理层  公共休闲空间及会议室等 尚辰设计总监潘均对于 空间设计一贯 基本理念，即“把最好 空间
1223,灵感信箱,2018年11月09日 16:39  来自 iPhone 8,『 条  知道养生小常识』收藏[小仙女]  绿茶可预防肝病   胖大海泡茶 宜长期饮用   感冒 宜喝苦丁茶   胆固醇高者少吃鱿鱼  海蜇皮能缓解高血压   食肉过多对身体有害   骨折初期 宜喝骨头汤   常喝豆浆有益健康   豆浆 宜与红糖鸡蛋同饮   白酒 宜代替料酒做
1226,本人行千里,2018年11月09日 15:53  来自 Android客户端,白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良 好 习惯；④饮食调节，多吃“三抗食物” 抗粉尘吃鸡 鸭 猪血，抗金属食用牛奶 豆腐，抗辐射多吃海带等蔬菜
1227,--Wuuuuuuuuuu,2018年11月09日 15:04  来自 iPhone客户端,🚬🚬 这个快 穿棉袄 季节  还吹 电风扇 这个 通风    污染空气很严重 常熟·招商城
1229,小儿推拿网,2018年11月09日 13:09  来自 微博 weibo.com,节气之立冬养生立冬， 节气中第 个节气，今 为     中国民间以立冬为冬季之始 立冬期间，有需进补以度严冬 食俗 立，建始 ，表示冬季自此开始 冬， 终  意思，有农作物收割后 收藏起来 含意 中国又把立冬作为冬季 开始 分 您和您 宝宝立冬养生 注意事项 一 衣——
1232,优优果库,2018年11月09日 10:06  来自 搜狗高速浏览器,当今社会养花成 人们 一种习惯，一种态度，一种执  美 人们永恒 追求和向往，遇见养花 将遇见 一样 风景 耐阴植物  们  常生活中有 广泛 应用，它点缀 们 室内环境， 让 们 生活变得多姿多彩 那么大家对于耐阴植物又知道多少呢？接下来小树和大家分 一些关于耐阴植物 相关知
1234,马鞍山市市场监督管理局,2018年11月08日 17:23  来自 UC浏览器电脑版,降温  小心冬季流感一转眼，立冬至，流感高发季又到来  如何安然度过流感季，一起听听江苏省中医院呼吸科主任医师孙子凯怎么  流感为何如此可怕孙子凯介绍，流行性感冒 由流行性感冒病毒引起 急性呼吸道传染病 每   份到次   份 高发季，老 人 儿童 孕妇以及有高血压
1235,好的很ok-,2018年11月08日 17:08  来自 iPhone客户端,冬季天气变化无常，  孩子感冒 多发期，特别今 暖冬现象 出现，对病菌 滋生极其有利，气温上升可使病菌繁殖加快，生命力增强，更容易引发感冒 流行 所以做好预防 尤为关键 首先，无论 宿舍还  ，  经常通风，减少室内聚集 细菌和病毒数，保持室内清新 空气；其次，尽量减少到公共
1236,搭配师说,2018年11月03日 09:30  来自 微博 weibo.com,❥⇢ 『 条  知道养生小常识』收藏[小仙女]  绿茶可预防肝病   胖大海泡茶 宜长期饮用   感冒 宜喝苦丁茶   胆固醇高者少吃鱿鱼  海蜇皮能缓解高血压   食肉过多对身体有害   骨折初期 宜喝骨头汤   常喝豆浆有益健康   豆浆 宜与红糖鸡蛋同饮   白酒 宜代替料
1239,观相法师,2018年11月02日 15:01  来自 微博 weibo.com,发财树养殖 摆放位置一般 发财树树形较大，因此适于摆放 较为宽敞 空间 ，比如客厅 书房  等 迷 型 发财树则对空间没有太大 限制，可随自己喜好摆放 这     ，并   所有环境下发财树 可以好好 生长  所以建议大家把发财树养 光线明亮并且通风良好 地方 并且 注意
1240,梁山伯带娃,2018年11月01日 22:32  来自 微博 weibo.com,附表 泰美福田小学创无烟学校评分标准评估标准 分值 自评分一 建立学校控烟制度 分 （一）有控烟领导小组，职责明确（ 分） （二）各部门有专人负责控烟工作，职责明确（ 分） （三）将控烟工作纳入本机构 工作计划，做到 初有计划  终有总结（包括资金保障）（ 分） （四
1242,设计师叶明,2018年11月01日 15:47  来自 搜狗高速浏览器,改變生活習慣從捨棄客廳開始 如果    常看電視 屋主，家裡空間又偏小，建議乾脆  客廳，少 沙發 茶几擺放，家中整體更為寬敞， 像居住 台北 親子屋主，希望創造符合孩子成長 夫妻使用習慣 舒適環境，如同北歐人 生活空間，於 邀請辦公室同樣為北歐風格  晟角制作 訂製新家，經過多重
1243,努力努力de伊娃酱,2018年11月01日 11:09  来自 微博 weibo.com,这么大，第一次这么讨厌 男 ，他没有做错什么得罪 ，   喜欢， 居然还能跟这种同事相处两 多， 一直当他隐形  .以前 联合  ，地方很小， 怎么通风，中央空调，冬天 时候，一件外套穿 冬天，每次他来到 ，   一股油腻臭味，春夏天一股湿衣服闷 很久 干 味
1246,就是突然想换个名儿,2018年11月30日 19:18  来自 HUAWEI Mate 10,为 给 施肥，臭 整间  大开门窗通风竟然有点小感冒 ，小家伙  长 好才对得起
1247,三秦百事,2018年11月30日 17:16  来自 荣耀7C 人脸识别双摄,富平车主注意啦 下周有可能 限行啦 富平县重污染天气应急响应通告根据市重污染天气应急指挥部 通知，经中国环境监测总站与汾渭平原空气质量预测预报中心会商研判，受静稳 高湿及强逆温等 利气象因素影响，预计从    至    ，汾渭平原将出现一次区域性重污染过程 加之前期污染残留
1252,伤迪ShangDi,2018年11月30日 09:29  来自 专业版微博,眼睛 心灵 窗户，随  龄 增长，眼睛 保水效果逐渐衰弱，为 避免一些早期 眼类疾病， 们需 这样做 很简单，每工作 - 分钟尝试眺望窗外或者观看绿植，这对于长期电脑  宝宝们 很有必  ， 可以根据自身 情况每天做 - 次眼保健操， 能大大缓解眼睛疲劳  经常
1253,家有丫头已长成Ra,2018年11月29日 11:07  来自 HUAWEI Mate 10 Pro,生活需 仪式感，摘个绿萝叶子  例外 问题来 ，有水分有通风，偶尔还端到阳台晒晒太阳，可  一直枯黄 同时养殖 ，  会家    会， 解
1254,拼室友,2018年11月28日 19:40  来自 拼室友超话,可以转发这个帖子，方便更多人看到，多多关注拼室友 拼室友  全新装修 房子，全新 家私家电，*出租，*入住   本公寓楼每一间房子  光线好通风，全新全套 家私家电 提供使用  空调，热水器，双人床，衣柜，梳妆台，宽带，遮光防强光高档窗帘独立厨房卫生间，独
1256,做梦都想一夜暴富123,2018年11月28日 10:58  来自 红米5Plus 千元全面屏,上午三 五时 有人  吸烟，通风又 好，真  窒息
1257,kindatrees,2018年11月28日 10:43  来自 微博轻享版,需 开窗通风均温低于 度毫无暖气  呆 第二天感冒 ，现 第九天 ，准备开始感第二轮冒
1258,s凌霄有特别的作死技巧你造吗,2018年11月28日 09:40  来自 小米MIX 2 全面屏手机,公司新 装修完 久，需 持续开窗通风， 空气又重度污染，所以两个选择， 么开窗通风吸霾， 么关窗吸甲醛
1259,怎与的救赎淑,2018年11月28日 09:14  来自 小米手机4s,白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物 ” 抗粉尘吃鸡 鸭 猪血，抗金属食用牛奶 豆腐，抗辐射多吃海带等蔬菜
1260,张小瑞_Ruby,2018年11月28日 08:42  来自 荣耀V10 我AI的快,有几天出去透气影响其他人情绪，明明  有情绪，另 前离职员工 油漆头疼，请假，  油漆刷个 . 遍，植物墙全部  塑料仿真植物，每天打开门  一股子塑料 味道，何况  没有影响工作 ，所有 让 做 ， 哪个  按时完成  ，还有， 坐 门口 工位， 空气 鲜 地方，后来又
1261,大唐L木木,2018年11月28日 08:30  来自 iPhone客户端,早  世纪，德国医生和病理学家Rudolf Vir how 提出 “血栓形成三 素” 即血液 流速缓慢，血液 成分改变，以及血管 损伤 这 被称为血栓 “危险三角”   常生活中，哪些情况容易陷入“危险三角”呢？（ ）长时间静坐久卧 活动，如 长途流行，乘坐飞机火车过程中；（ ）女士 孕期及产后
1265,初为人母2019,2018年11月27日 21:00  来自 iPhone客户端,特别 舒服 一天，  知  自己没休息好？还 早上吃 东西有问题？还  空调开太大 又 通风？总之，一上午感觉自己心慌 昏昏欲睡 还有点想吐 中午回来，吃 饭 睡，下午还好一点 后来工作还稍微气色 点 感恩 心 生活 工作只  一直努力  放弃，总会
1272,五莲环境,2018年11月27日 18:13  来自 搜狗高速浏览器,五莲县重污染天气预警公告(黄色)根据 照市重污染天气应急指挥部 通知，预计    ～   县将出现一次重污染天气过程，县重污染天气应急指挥部决定自       时启动重污染天气Ⅲ级应急响应 现将有关措施予以公告 一 公众防护措施（一）提示儿童 老 人和
1274,SugAr_婧瑶,2018年11月27日 16:50  来自 小仙女💕iPhone客户端,中 小黄鸭 毒改  吃东西总 剩一口 毛病新 为 放味开窗通风 冻死 老  热 只想吃雪糕 开会开 困死  喝红牛  管用
1275,朔朔Dad,2018年11月27日 15:50  来自 莒县超话,莒县  照市重污染天气预警公告(黄色)经环保和气象部门会商，受 利气象条件影响，预计今明两天（    -  ） 市将持续重污染天气过程 市重污染天气应急指挥部决定于O       时发布重污染天气黄色预警 ，同时启动重污染天气Ⅲ级应急响应 现将有关措施予以公告 一 健康防护措施提示儿童 老
1276,妩媚的吃重莉6688,2018年11月27日 15:46  来自 Android客户端,白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物”  抗粉尘吃鸡 鸭 猪血，抗金属食用牛奶 豆腐，抗辐射多吃海带等蔬菜
1280,随玉而铵2017,2018年11月24日 08:56  来自 360安全浏览器,设计  时尚  艺术  一栋典型 “健康” 大楼应该 这样  经过三层过滤 空气呼呼地从地板上 通风口喷出，与此同时，天花板上 通风管道将充满二氧化碳 空气吸走 爬满墙壁和隔墙 植物 有助于清洁空气，同时还能满足 们与生俱来 与大自然亲近
1281,小鹦鹉201106,2018年11月24日 07:57  来自 OPPO R15 梦镜版,久前， 令人难过 消息 媒体圈“炸 ” 悲一名 轻女记者突然去世从入院到离世仅 天中国 报  轻女记者小吴， 胖乎乎活泼 姑娘，喜欢种花，还 英国经济学博士，这么 轻 同行突然离开让人唏嘘 已 而如此迅速夺走她生命 病因，竟然只 从崴 个脚开始 ￼内容来源 澎
1282,天气好去调调鱼,2018年11月23日 21:38  来自 荣耀7C 人脸识别双摄,轻女记者崴脚 天后离世 她忽视 问题 可能每天  犯  久前， 令人难过 消息 媒体圈“炸 ” 一名 轻女记者突然离世!这个 职于某媒体 姑娘，平时开朗活泼，眼睛特别单纯，喜欢种花，还 经济学博士，她 突然离开让人唏嘘 已 那么问题来 为什么 健
1283,逆夏流年1986,2018年11月23日 21:12  来自 iPhone客户端,公司乔迁新址 北海大厦装修风格一流如此高逼格 北欧田园风几乎    完美暖气 足 因为刚装修 需 通风散甲醛冻死个仙人呀如此高端大气   真  舍得离开又纠结   明天又 开每周例会 讨论订单出现 问题 想想 遭罪 过新 会议室还 很 错 以后早晚 走环海路这条 最喜
1296,rusy2000,2018年11月20日 16:41  来自 微博 weibo.com,发财树养护现 喜欢点花花草草 朋友越来越多，但 能养好很难，比如 ，每  买各种花花草草回来，一段时间后 所剩无几   记录下 这些 养护发财树 经历发财树 一种非常受欢迎 植物，很多人喜欢给家  客厅摆放发财树，既能净化空气，又能装点室内，而且把发财树养 家 ，寓意家庭招
1301,William等等大头,2018年11月19日 08:38  来自 HUAWEI P20 Pro,真 很烦   这个老头 本来这  比较封闭式  区， 们   比较小，空气 太流通  这早上刚把窗户开 吧，他以来 关 严严实实 封闭 两天  ，这才通风 几分钟？？ 分钟吧   这，他身上一股子 味道，整个公司 人  见识 ，  他自己 知道 吧 这个味
1302,橙黄菊绿,2018年11月18日 23:37  来自 HUAWEI P10,出差回来，感觉累，打起精神料理各种琐事后，松懈下来疲倦再度袭来，冷，渴，困，各种 适，终 病  晚上睡 安宁，头痛，流鼻涕，咳嗽，口干舌燥，清晨醒来，挣扎 洗漱，去吃早饭，难以下咽，只能作罢， 肩部粘上一片暖贴，继续躺下，近中午，再度起来，依然吃嘛嘛 香，又躺下  想一直睡
1304,乎尼lym,2018年11月17日 11:28  来自 微博 weibo.com,蜂窝煤印象   代 北方冬天，穷冬烈风，北风呼呼吹，甚 寒冷 然而最为深刻   煤和大白菜 大白菜另有很多故事，下次可以详细写下 煤 从煤球厂买来 蜂窝煤，其余三季   煤火炉子做饭烧菜用一用， 搬进屋 取暖，故而耗煤球 多 天一 寒更甚一 ，寒风咬 耳朵疼，还 小学苦苦
1307,财董事,2018年11月16日 17:09  来自 iPhone客户端,回学校办销假手续，接受工作安排 依然接原先 班级，被班主任带过去找几个小朋友帮忙，刚到楼梯口，还没反应过来，小崽子们 全 涌过来，耳边充斥 “陈老师 ”“陈老师回来  ”“看，陈老师 ”“陈老师，耶 ”，原来   “补习” 小家伙一下课 跑到班级“通风生”   笑 看他们，摸
1311,葆婴品质营养,2018年11月16日 07:57  来自 vivo AI智慧拍照X21,同样 维C，差别咋 那么大呢？ 看 这个 全明白  葆婴亲子园    补充维C，增强免疫 “阿嚏 阿嚏 阿嚏 有人想  吗？NO NO NO  想太多 估计 感冒啦 “ 知道大家发现没有一到冬天感冒咳嗽 声音  教室    此起彼伏这 因为冬天气温较冷人 身体受寒之后抵抗
1315,中了coolboy馥,2018年12月15日 10:51  来自 Android客户端,白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物” 抗粉尘吃鸡 鸭 猪血，抗金属食用 牛奶 豆腐，抗辐射多吃海带等蔬菜
1318,Yiming-Chen,2018年12月14日 18:54  来自 Moto X Style,无阳光直射，通风，干燥全部  变成老腊肉
1320,刘果果会一点点变好,2018年12月14日 13:04  来自 小米Note2 双曲面,感谢北大毕业   矿井通风老师，这段时间一直 很照顾 ，因为  考研经常去 问专业课老师题，各种忙考研 事情，所以经常能看见他，他话 多，或者去  只 礼貌 打声招呼 考试交卷他监考 ，还没看 卷子先暖心 问 能 能及格答 怎么样之类 话  确确实实 没怎么仔细听这门课，
1322,ProgressSmoothly,2018年12月14日 12:13  来自 荣耀Play 让快更快,比外面还冷，大楼四面通风 广州·广州智光电气股份有限公司
1323,康是美之家,2018年12月14日 11:17  来自 360安全浏览器,冬季天气寒冷容易得这三种病 一 咽喉炎冬季一到，天气干燥，许多人由于水喝得少，没能及时补充水份，出现 嗓子干痒 疼痛 症状，引发咽喉炎 如坐  白领 车间人员 密闭空间劳动 工作人员患病率最高 几乎每个人 有或轻或重 咽喉炎 这主  室内室外温差大，空气质量差，
1324,苏达水,2018年12月14日 10:54  来自 微博 weibo.com,高温蒸发，然后开窗通风 最好 方法  过今 七 刚刚装修过  ，请人来做 除甲醛处理，做好 检测结果还 比较理想   O装修完味道很大，应该怎么来祛除味道？
1325,澳門機場虛擬候機樓V-Terminal,2018年12月14日 09:41  来自 微博 weibo.com,澳門 關閘巴士總站明 重開 首階段 條路線遷回關閘廣場地下公共客運總站（簡稱「關閘巴士總站」）將於明（ ） 重開，首階段共有 條巴士路線恢復停靠關閘巴士總站，其餘路線則維持現有安排 交通事務局表示，會持續檢視有關巴士站和路線運作情況，並收集意見，適時調整關閘巴士路線安排 關閘
1327,钟炫不姓钟,2018年12月14日 00:02  来自 HUAWEI nova 2 Plus,再     通风  开暖气 头痛
1333,不给看生命线,2018年12月13日 19:37  来自 微博轻享版,冷死  这种天 还开冷空调通风，然后加班出来，外边比 还冷 瑟瑟发抖得打车
1334,野猫变家猫,2018年12月13日 09:06  来自 微博 weibo.com,有个男 ，酷爱开窗通风，即使 现 零下 度 天气 依旧  早晨最冷 时候把窗户打开，既然 那么喜欢吹风，打开窗户之后  坐 窗户下面吹 ，干嘛打开之后 跑出去吃饭，把  其他人吹 瑟瑟发抖  而且哦， 算 雾霾天，人家依旧 开窗换气，公司花那么多钱装新风系统  用
1337,水2_格利泽581,2018年12月12日 17:19  来自 iPhone 7,感受一下大拉萨二手烟  威力作为参考，中午通风换气时候 数值
1338,黄石市西塞山区花园路社区,2018年12月12日 16:37  来自 HUAWEI nova 3e,花园路社区低温雨雪冰冻天气温馨提示您据气象部门预报， ～   市天气持续走低，为进一步做好低温雨雪天气 应对工作，请广大群众注意以下事项   低温雨雪冰冻天气期间，广大群众 增强安全防范意识，尽量减少出行，谨慎驾车，或选择正规交通工具出行，防止滑倒摔伤或酿成交通事故；   特别
1339,拉房哥,2018年12月12日 16:17  来自 小米8周年旗舰手机,方庄最后棚户区棚改方案征意见北京晚报 东南三环分钟寺桥西北，紧贴 三环路有一片棚户区，这  方庄地区最后一片棚户区 如今这片棚户区改造终于有 动静，记者从丰台区政府房屋征收 获悉，分钟寺桥西北侧地区回迁安置房项目住宅房屋征收补偿方案 前开始征求意见，棚改后这 将建设 公顷
1340,胖虎今天早睡了吗,2018年12月12日 15:00  来自 Android,连公交车 比 暖和，那么贵 中央空调 只会通风吗
1342,茶茶月儿,2018年12月11日 20:43  来自 Android客户端,白领 招防 污染①多通风勤打扫；②摆放绿色植物；③养成良好 习惯；④饮食调节，多吃“三抗食物” 抗粉尘吃鸡 鸭 猪血，抗金属食 用牛奶 豆腐，抗辐射多吃海带等蔬菜
1344,锦瑟__M,2018年12月11日 16:21  来自 iPhone客户端,本来开 空调  通风，但 还非   抽烟，🤮
1346,矿宝网资讯,2018年12月11日 16:13  来自 专业版微博,刚刚，煤监总局下发通知，事关所有煤矿 国家煤矿安监局 关于开展煤矿重 机电运输设备调研 通知煤安监司函办〔 〕 号各省级煤矿安全监察局 有关单位 为深入 解煤矿重 机电运输设备安全技术和使用维护管理现状，总结经验，分析存  问题和原因，研究加强安全管理 措施，国家煤
1347,崔崔也是CC,2018年12月11日 15:46  来自 iPhone客户端,最近 天冷   们 通风很 好 很多男同事  楼道 抽烟 导致二手烟 飘到  来 真  把人呛得 行 直接无法 路上经常遇到吐痰 人有些人一看  老烟民胸腔  声音 混杂 痰吐出来 时候真 太恶心 抽烟 吐痰 动作真  人类最丑 动作想 明白 烟草这种东西除 被烟民需
1348,国葆堂王兴治,2018年12月11日 15:27  来自 皮皮时光机,据 解， % 家居或  存 开窗通风 足 情况 大家习惯紧闭门窗，一来 因为城市灰尘多，噪音大，二来则 开冷气或暖气 需  殊 知，温暖 光照差 空气 流通 房间 细菌 病毒生长繁殖 最佳场所， 们长时间呆 这样 空间 容易感到鼻塞 胸闷 困倦 乏力 皮肤瘙痒 记忆力衰退等等
1350,阿暴暴暴O,2018年12月11日 10:49  来自 iPhone客户端,暖气开 太足 本来 难受 密闭 通风 更容易恶心 哎呀 好难受 😣
1351,琦琦哩pupu,2018年12月11日 10:41  来自 HUAWEI P20,空气真 很差 通风空调  开  喉咙 痛 哇完全提 起精神干活
1352,噗这双手虽然小,2018年12月11日 09:12  来自 iPhone客户端,没有暖气四处通风  太冷 ，裹 毯子系 围巾，双腿紧挨 电脑主机，喝 一杯接一杯 热水，纠结   去上厕所
1353,ChristineFu想改名,2018年12月10日 23:01  来自 iPhone,Day   最近需 通风冷醉 ，好像每天把这个暖手宝带去学校暖手 成
